time,away,score,home,
15:10,Kentrell Barkley Defensive Rebound.,33-38,,2
15:00,Prince Williams missed Jumper.,33-38,,2
15:00,,33-38,Tyrone Wallace Defensive Rebound.,2
14:51,,33-38,Jordan Mathews missed Three Point Jumper.,2
14:50,Kentrell Barkley Block.,33-38,,2
14:49,,33-38,Ivan Rabb Offensive Rebound.,2
14:47,,33-40,Ivan Rabb made Layup.,2
14:47,Foul on B.J. Tyson.,33-40,,2
14:47,Official TV Timeout,,,2
14:47,,33-41,Ivan Rabb made Free Throw.,2
14:28,,33-41,Foul on Jabari Bird.,2
14:23,B.J. Tyson Turnover.,33-41,,2
13:58,,33-41,Foul on Tyrone Wallace.,2
13:58,,33-41,Tyrone Wallace Turnover.,2
13:47,B.J. Tyson missed Layup.,33-41,,2
13:47,,33-41,Stephen Domingo Defensive Rebound.,2
13:39,,33-41,Jaylen Brown Turnover.,2
13:34,Caleb White missed Three Point Jumper.,33-41,,2
13:34,Kentrell Barkley Offensive Rebound.,33-41,,2
13:25,,33-41,Foul on Kameron Rooks.,2
13:25,Kentrell Barkley missed Free Throw.,33-41,,2
13:25,East Carolina Deadball Team Rebound.,33-41,,2
13:25,Kentrell Barkley made Free Throw.,34-41,,2
13:08,,34-41,Stephen Domingo missed Three Point Jumper.,2
13:08,Kentrell Barkley Defensive Rebound.,34-41,,2
12:58,B.J. Tyson missed Jumper.,34-41,,2
12:58,,34-41,Jordan Mathews Defensive Rebound.,2
12:48,,34-41,Jaylen Brown missed Jumper.,2
12:48,,34-41,Kameron Rooks Offensive Rebound.,2
12:43,Foul on Kanu Aja.,34-41,,2
12:43,,34-41,Ivan Rabb missed Free Throw.,2
12:43,B.J. Tyson Defensive Rebound.,34-41,,2
12:32,Kanu Aja made Dunk. Assisted by Prince Williams.,36-41,,2
12:17,,36-41,Jaylen Brown missed Three Point Jumper.,2
12:17,,36-41,Ivan Rabb Offensive Rebound.,2
12:05,,36-41,Jabari Bird missed Three Point Jumper.,2
12:05,,36-41,Stephen Domingo Offensive Rebound.,2
12:00,,36-43,Stephen Domingo made Jumper.,2
11:38,Kentrell Barkley made Three Point Jumper. Assisted by Michel Nzege.,39-43,,2
11:22,,39-43,Ivan Rabb Turnover.,2
11:21,Kentrell Barkley Steal.,39-43,,2
11:18,Prince Williams missed Layup.,39-43,,2
11:18,,39-43,Jabari Bird Block.,2
11:15,Michel Nzege Offensive Rebound.,39-43,,2
11:15,,39-43,Foul on Ivan Rabb.,2
11:15,Official TV Timeout,,,2
11:15,Michel Nzege missed Free Throw.,39-43,,2
11:15,East Carolina Deadball Team Rebound.,39-43,,2
11:15,Michel Nzege made Free Throw.,40-43,,2
10:59,,40-43,Jaylen Brown Turnover.,2
10:57,Caleb White Steal.,40-43,,2
10:53,Kentrell Barkley missed Three Point Jumper.,40-43,,2
10:53,,40-43,Jaylen Brown Defensive Rebound.,2
10:51,Foul on Kentrell Barkley.,40-43,,2
10:51,,40-44,Jaylen Brown made Free Throw.,2
10:51,,40-45,Jaylen Brown made Free Throw.,2
10:31,Caleb White missed Three Point Jumper.,40-45,,2
10:31,,40-45,Ivan Rabb Defensive Rebound.,2
10:18,,40-45,Tyrone Wallace missed Three Point Jumper.,2
10:18,,40-45,Jabari Bird Offensive Rebound.,2
10:15,,40-47,Jabari Bird made Layup.,2
9:54,B.J. Tyson missed Jumper.,40-47,,2
9:54,,40-47,Stephen Domingo Defensive Rebound.,2
9:43,Foul on Lance Tejada.,40-47,,2
9:43,,40-47,Tyrone Wallace missed Free Throw.,2
9:43,,40-47,Stephen Domingo Offensive Rebound.,2
9:36,,40-49,Tyrone Wallace made Jumper.,2
9:05,Caleb White made Jumper.,42-49,,2
8:53,,42-51,Jabari Bird made Layup. Assisted by Tyrone Wallace.,2
8:32,Michel Nzege Turnover.,42-51,,2
8:30,,42-51,Tyrone Wallace Steal.,2
8:28,,42-53,Tyrone Wallace made Layup. Assisted by Jordan Mathews.,2
8:26,East Carolina Timeout,,,2
8:15,,42-53,Foul on Ivan Rabb.,2
8:15,Lance Tejada made Free Throw.,43-53,,2
8:15,Lance Tejada made Free Throw.,44-53,,2
8:05,,44-55,Jaylen Brown made Jumper. Assisted by Stephen Domingo.,2
7:46,Michael Zangari made Jumper. Assisted by Caleb White.,46-55,,2
7:29,,46-55,Tyrone Wallace Turnover.,2
7:27,Lance Tejada Steal.,46-55,,2
7:10,Michael Zangari made Jumper.,48-55,,2
